1000,0.10,31,13,53.063332ms,167.655714ms,73.085µs,20.97µs,46.707739ms,3.225186ms,42.447µs,23.149729ms,55.434µs,12.406705ms,1.569297ms
1000,0.10,31,14,53.151706ms,93.115443ms,32.591617ms,30.659477ms,36.679514ms,38.555217ms,58.171µs,15.563695ms,6.66917ms,1.146077ms,1.537259ms
1000,0.10,31,15,54.310318ms,107.84176ms,103.265917ms,81.028µs,28.71µs,9.066466ms,43.119µs,17.838µs,26.410224ms,95.347µs,3.035416ms
1000,0.10,31,16,54.731601ms,162.481206ms,67.60141ms,70.006µs,22.396µs,18.045457ms,40.197µs,323.223µs,2.37778ms,1.824197ms,1.655371ms
1000,0.10,31,17,55.651196ms,235.096073ms,6.449915ms,41.065µs,8.615722ms,37.276µs,17.481µs,1.037707ms,1.703407ms,1.982466ms,2.003886ms
1000,0.10,31,18,58.872062ms,115.544351ms,60.170757ms,3.307551ms,32.919848ms,4.966428ms,722.156µs,31.085075ms,47.494µs,3.965693ms,1.818201ms
1000,0.10,31,19,55.196912ms,108.096761ms,28.5548ms,123.237808ms,52.151µs,19.486µs,17.303µs,17.003µs,1.822441ms,2.056189ms,1.791177ms
1000,0.10,6,0,272.264102ms,471.637285ms,61.497µs,6.60923ms,34.383767ms,87.595957ms,91.753µs,23.061µs,230.284µs,1.131677ms,748.735µs
1000,0.10,6,1,269.618868ms,494.317039ms,29.47492ms,48.123µs,5.070117ms,44.162187ms,39.312823ms,61.786µs,24.784µs,1.338493ms,998.452µs
1000,0.10,6,2,553.418373ms,106.072µs,21.994µs,216.623575ms,52.378µs,21.123µs,64.220521ms,7.732207ms,18.560938ms,12.226654ms,2.727312ms
1000,0.10,6,3,266.788276ms,569.059597ms,67.855µs,9.328599ms,45.95µs,14.456955ms,14.207075ms,46.854µs,1.095979ms,1.131836ms,1.188602ms
1000,0.10,6,4,264.16321ms,295.994877ms,101.070596ms,30.240013ms,84.923024ms,56.955217ms,13.467629ms,65.274µs,10.171823ms,10.977818ms,2.99487ms
1000,0.10,6,5,267.875051ms,399.094024ms,109.337916ms,55.499146ms,50.441µs,6.841579ms,40.566447ms,51.693µs,24.53µs,16.476µs,601.84µs
1000,0.10,6,6,260.598247ms,225.955716ms,83.590311ms,124.350503ms,68.659177ms,9.174684ms,46.037083ms,49.284µs,28.79059ms,14.757287ms,3.756005ms
1000,0.10,6,7,279.250871ms,608.550846ms,55.026µs,147.536µs,120.541µs,985.667µs,763.178µs,866.261µs,752.544µs,739.308µs,857.895µs
1000,0.10,6,8,532.575432ms,159.105µs,126.029644ms,113.343027ms,47.197µs,6.993185ms,35.196843ms,45.436541ms,50.157µs,11.06046ms,1.212302ms
1000,0.10,6,9,256.487088ms,215.057385ms,169.127755ms,132.626531ms,51.928µs,44.541022ms,39.830749ms,48.218µs,732.253µs,1.367428ms,1.082599ms
1000,0.10,6,10,419.318455ms,143.992µs,171.105808ms,128.667982ms,82.676884ms,45.549657ms,13.148348ms,48.62µs,22.58µs,12.544245ms,1.278313ms
1000,0.10,6,11,260.733325ms,244.597567ms,152.263666ms,31.438124ms,20.960075ms,25.048828ms,109.041306ms,12.258254ms,72.181µs,6.959817ms,775.611µs
1000,0.10,6,12,258.532004ms,521.432507ms,25.485672ms,37.980741ms,50.771µs,19.104871ms,215.424µs,943.152µs,1.038461ms,871.312µs,723.154µs
1000,0.10,6,13,623.849068ms,110.086µs,22.929µs,16.764µs,52.236829ms,88.126082ms,71.264723ms,22.872785ms,1.786741ms,8.955155ms,2.313494ms
1000,0.10,6,14,266.231821ms,290.740834ms,26.418467ms,82.024571ms,127.856492ms,49.933µs,5.113491ms,32.958006ms,39.279522ms,905.43µs,966.934µs
1000,0.10,6,15,267.719887ms,421.448896ms,151.25396ms,49.914µs,21.879µs,2.5907ms,26.118815ms,49.312µs,18.642194ms,2.796627ms,867.379µs
1000,0.10,6,16,466.056125ms,229.348618ms,80.32304ms,48.972463ms,51.854µs,19.697µs,21.928948ms,25.220311ms,49.541µs,20.507µs,552.029µs
1000,0.10,6,17,406.558242ms,137.336µs,137.216258ms,130.449356ms,78.497759ms,43.034023ms,25.838639ms,40.319578ms,62.249µs,20.039µs,745.326µs
1000,0.10,6,18,268.08372ms,334.437222ms,89.982602ms,57.140844ms,44.520495ms,48.843µs,33.714734ms,28.606716ms,48.656µs,20.246875ms,801.483µs
1000,0.10,6,19,270.114751ms,599.292278ms,52.287µs,19.923µs,516.069µs,7.531125ms,158.073µs,1.217543ms,903.638µs,1.116172ms,827.975µs
1000,0.25,10,0,159.266495ms,280.710852ms,208.272916ms,69.930693ms,33.10543ms,11.677779ms,89.944311ms,49.785µs,24.45µs,150.295µs,1.628234ms
1000,0.25,10,1,185.25671ms,365.639815ms,105.528929ms,113.108029ms,53.325µs,55.827959ms,3.33679ms,18.769296ms,29.754776ms,420.61µs,1.673294ms
1000,0.25,10,2,159.690867ms,376.579623ms,118.349055ms,105.940036ms,41.065262ms,49.345µs,33.995µs,20.145308ms,25.128063ms,46.757µs,8.660635ms
1000,0.25,10,3,159.781145ms,354.997854ms,231.420396ms,103.736881ms,53.092µs,21.278µs,18.266µs,20.574µs,2.225628ms,2.932203ms,1.778814ms
1000,0.25,10,4,157.829823ms,298.157752ms,91.552442ms,137.880055ms,49.524µs,72.186329ms,3.057078ms,49.905446ms,23.474558ms,20.639817ms,1.685498ms
1000,0.25,10,5,164.592623ms,413.129585ms,112.349729ms,54.334334ms,68.568086ms,34.440659ms,49.249µs,18.396µs,20.479µs,17.62378ms,1.871908ms
1000,0.25,10,6,160.749291ms,680.003734ms,178.94µs,21.894µs,20.831µs,16.181µs,15.861µs,16.138µs,8.554398ms,597.066µs,1.421997ms
1000,0.25,10,7,155.347145ms,439.076719ms,127.960722ms,19.36997ms,73.455489ms,8.590431ms,48.414µs,19.556µs,7.145667ms,17.905684ms,1.772465ms
1000,0.25,10,8,156.454481ms,407.798659ms,181.780199ms,1.603425ms,87.433149ms,46.101µs,20.086694ms,50.63µs,38.986µs,134.785µs,1.338665ms
1000,0.25,10,9,163.395204ms,440.093392ms,107.643534ms,77.694584ms,48.379µs,19.125µs,18.091108ms,44.131272ms,12.121737ms,504.005µs,1.022553ms
1000,0.25,10,10,159.370259ms,249.36478ms,79.67241ms,94.921078ms,271.573398ms,51.154µs,19.551µs,29.353µs,134.137µs,1.201575ms,1.154435ms
1000,0.25,10,11,160.733966ms,356.393393ms,47.922911ms,52.757133ms,241.419004ms,52.007µs,20.116µs,17.151µs,20.42µs,1.969961ms,1.981347ms
1000,0.25,10,12,161.334102ms,422.390932ms,240.911972ms,16.108622ms,46.348µs,18.374µs,16.263µs,6.226207ms,5.593686ms,594.638µs,1.241737ms
1000,0.25,10,13,157.100795ms,604.499507ms,47.491236ms,50.436µs,32.375µs,27.577µs,24.051623ms,17.104617ms,50.611µs,3.089002ms,2.041211ms
1000,0.25,10,14,160.255598ms,617.495309ms,51.293µs,10.127594ms,7.727029ms,56.589645ms,50.231µs,18.464µs,20.13µs,927.664µs,1.160503ms
1000,0.25,10,15,161.537883ms,519.318223ms,50.326554ms,46.346µs,17.829299ms,42.346µs,102.480217ms,49.768µs,23.429µs,361.442µs,1.326112ms
1000,0.25,10,16,159.489304ms,393.004256ms,77.295032ms,78.26411ms,92.100266ms,32.030644ms,12.716415ms,10.490422ms,44.8µs,464.29µs,1.133746ms
1000,0.25,10,17,161.972705ms,566.130081ms,54.970488ms,47.20057ms,99.853µs,25.4µs,22.33407ms,54.596µs,5.854299ms,2.434316ms,1.560439ms
1000,0.25,10,18,160.476552ms,295.388292ms,180.626268ms,42.048229ms,104.953772ms,38.715422ms,50.178µs,30.992565ms,50.906µs,19.014µs,1.338864ms
1000,0.25,10,19,159.927049ms,496.653307ms,52.440191ms,21.793805ms,52.810713ms,46.708µs,23.850322ms,31.138905ms,16.370125ms,49.691µs,1.397147ms
1000,0.25,31,0,74.521142ms,159.264503ms,222.419739ms,60.756515ms,85.28µs,39.417µs,77.260601ms,47.158µs,25.545µs,3.354321ms,3.644117ms
1000,0.25,31,1,71.877393ms,223.47248ms,182.481596ms,51.739µs,21.765µs,13.895308ms,10.671846ms,54.580673ms,36.962756ms,1.859553ms,4.444967ms
1000,0.25,31,2,72.940783ms,193.477325ms,72.688505ms,150.911065ms,22.417696ms,104.229µs,18.446µs,4.833069ms,69.775771ms,2.411841ms,3.923594ms
1000,0.25,31,3,70.783225ms,330.797635ms,25.982703ms,48.149723ms,45.13796ms,32.295516ms,24.249378ms,11.337111ms,54.691µs,4.73816ms,4.483299ms
1000,0.25,31,4,71.309063ms,154.44624ms,156.35854ms,190.547µs,53.093921ms,118.792052ms,19.558209ms,46.518µs,22.906µs,16.534088ms,3.702578ms
1000,0.25,31,5,71.387895ms,392.755891ms,103.655µs,19.287µs,5.141707ms,98.085197ms,51.849µs,18.49µs,9.192624ms,7.558447ms,4.166484ms
1000,0.25,31,6,72.289964ms,331.628787ms,49.799715ms,33.802716ms,34.514318ms,103.231µs,9.397757ms,51.838829ms,64.207µs,3.907547ms,4.154923ms
1000,0.25,31,7,75.176016ms,216.648024ms,92.860205ms,28.067681ms,46.643318ms,58.178554ms,60.651587ms,100.638µs,2.635636ms,14.631881ms,3.93749ms
1000,0.25,31,8,76.291281ms,255.644043ms,163.194784ms,61.737295ms,75.827µs,32.504243ms,168.592µs,20.643µs,4.410144ms,5.527164ms,3.861181ms
1000,0.25,31,9,71.973261ms,193.983286ms,58.236225ms,67.253514ms,1.764302ms,76.36861ms,51.231871ms,60.984531ms,1.526826ms,4.290102ms,3.719072ms
1000,0.25,31,10,73.77774ms,279.838196ms,91.821264ms,98.390348ms,84.243µs,20.708µs,41.666006ms,49.009µs,5.194757ms,4.994084ms,3.694811ms
1000,0.25,31,11,73.697775ms,399.804976ms,18.586493ms,202.569µs,12.679138ms,82.707786ms,78.8µs,21.04µs,3.66076ms,4.792908ms,4.172498ms
1000,0.25,31,12,74.059245ms,187.549143ms,157.310855ms,58.445919ms,105.518µs,39.720089ms,66.232611ms,176.767µs,5.124581ms,5.26658ms,3.69754ms
1000,0.25,31,13,70.171157ms,310.70878ms,47.061968ms,36.991172ms,15.785173ms,24.051673ms,44.633409ms,31.674761ms,6.304313ms,3.921613ms,3.85488ms
1000,0.25,31,14,73.030663ms,226.4352ms,76.098311ms,34.511258ms,9.778478ms,78.668381ms,76.286108ms,18.800881ms,49.759µs,2.75542ms,3.869461ms
1000,0.25,31,15,73.586522ms,344.226884ms,70.683169ms,31.715409ms,42.193446ms,15.705756ms,104.606µs,18.038µs,4.106246ms,4.501543ms,3.909052ms
1000,0.25,31,16,74.475093ms,330.396838ms,114.672012ms,48.363µs,23.197µs,23.929123ms,16.241833ms,28.492403ms,46.724µs,3.513636ms,4.147714ms
1000,0.25,31,17,81.457452ms,210.314769ms,235.500327ms,109.372µs,26.084µs,37.192743ms,102.058µs,30.712807ms,6.86972ms,2.066364ms,3.686857ms
1000,0.25,31,18,70.982641ms,216.279771ms,97.087569ms,14.01395ms,142.955933ms,87.275µs,849.41µs,33.552669ms,55.877µs,17.10104ms,3.933646ms
1000,0.25,31,19,72.890829ms,318.916607ms,27.787906ms,38.887286ms,20.572935ms,49.991µs,18.197µs,94.361863ms,20.937658ms,3.91992ms,3.852707ms
1000,0.25,6,0,272.502367ms,419.976269ms,118.84082ms,56.464376ms,74.586431ms,98.109075ms,26.776892ms,15.964107ms,30.385938ms,11.034234ms,1.967088ms
1000,0.25,6,1,671.725727ms,111.236µs,21.973µs,281.502085ms,212.243155ms,68.488µs,21.714µs,18.07µs,452.925µs,598.42µs,536.324µs
1000,0.25,6,2,290.436373ms,434.358022ms,215.684229ms,45.561002ms,27.369077ms,50.2µs,44.700645ms,55.938371ms,30.969097ms,49.014µs,1.117146ms
